NrId,DistrictId,Property_Name,Other_Name,CountyId,AtlasIndex,Keywords,Longitude,Latitude,County,Address,City,Date_Listed,Reference_Number,Multiple_Property_Name,Date_To_SBR,Vicinity,Status,StatusL,Date_Removed,Notes,Date_To_Nps,Date_Notified,Local_Sig,State_Sig,National_Sig,Atlas_Number,Significance,Criteria,Style,Period,Resource_type,ResourceL,Architect,District,MpsId,NpsId,HasFiles,HasImages,HasMapLocation
1642,25,"Archeological Site No. 41HZ227 ",,115,2000000000001642,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002024,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002024,"Archeology - Historic Non-Aboriginal, Ethnic Heritage - Black, Performing Arts","A (historic events), D (information potential/archeology",None Listed,"1875-1899, 1850-1874",S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,True,False
1643,25,"Archeological Site No. 41HZ228 ",,115,2000000000001643,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002025,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002025,"Archeology - Historic Non-Aboriginal, Ethnic Heritage - Black, Performing Arts","A (historic events), D (information potential/archeology",None Listed,"1875-1899, 1850-1874",S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,True,False
1644,25,"Archeological Site No. 41HZ283 ",,115,2000000000001644,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002026,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002026,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1645,25,"Archeological Site No. 41HZ284 ",,115,2000000000001645,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002027,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002027,"Archeology - Historic Non-Aboriginal, Exploration/Settlement",D (information potential/archeology,None Listed,"1900-1924, 1875-1899, 1925-1949",S,"Site      ",Unknown,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1646,25,"Archeological Site No. 41HZ285 ",,115,2000000000001646,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002028,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002028,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1647,25,"Archeological Site No. 41HZ286 ",,115,2000000000001647,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002029,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002029,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1648,25,"Archeological Site No. 41HZ287 ",,115,2000000000001648,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002030,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002030,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1649,25,"Archeological Site No. 41HZ288 ",,115,2000000000001649,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002031,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002031,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1650,25,"Archeological Site No. 41HZ289 ",,115,2000000000001650,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002032,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002032,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1651,25,"Archeological Site No. 41HZ290 ",,115,2000000000001651,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002033,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002033,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1652,25,"Archeological Site No. 41HZ291 ",,115,2000000000001652,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002034,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002034,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1653,25,"Archeological Site No. 41HZ292 ",,115,2000000000001653,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002035,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002035,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1654,25,"Archeological Site No. 41HZ293 ",,115,2000000000001654,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002036,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002036,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1655,25,"Archeological Site No. 41HZ294 ",,115,2000000000001655,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002037,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002037,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1656,25,"Archeological Site No. 41HZ295 ",,115,2000000000001656,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002038,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002038,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
